Time	LH_Ext_HC	LH_FLX_HC	
0.032	-0.05488863	-0.05987484	
0.0322	-0.05486093	-0.0598762	
0.0324	-0.05483323	-0.05987758	
0.0326	-0.05480552	-0.059879	
0.0328	-0.0547778	-0.05988045	
0.033	-0.05475008	-0.05988193	
0.0332	-0.05472235	-0.05988344	
0.0334	-0.05469461	-0.05988498	
0.0336	-0.05466686	-0.05988656	
0.0338	-0.0546391	-0.05988818	
0.034	-0.05461133	-0.05988982	
0.0342	-0.05458356	-0.0598915	
0.0344	-0.05455577	-0.05989322	
0.0346	-0.05452797	-0.05989497	
0.0348	-0.05450016	-0.05989675	
0.035	-0.05447233	-0.05989858	
0.0352	-0.0544445	-0.05990044	
0.0354	-0.05441665	-0.05990233	
0.0356	-0.05438878	-0.05990427	
0.0358	-0.05436091	-0.05990624	
0.036	-0.05433301	-0.05990824	
0.0362	-0.0543051	-0.05991029	
0.0364	-0.05427718	-0.05991238	
0.0366	-0.05424924	-0.05991451	
0.0368	-0.05422128	-0.05991667	
0.037	-0.0541933	-0.05991888	
0.0372	-0.05416531	-0.05992113	
0.0374	-0.0541373	-0.05992341	
0.0376	-0.05410926	-0.05992574	
0.0378	-0.05408121	-0.05992812	
0.038	-0.05405314	-0.05993053	
0.0382	-0.05402504	-0.05993298	
0.0384	-0.05399693	-0.05993548	
0.0386	-0.05396879	-0.05993803	
0.0388	-0.05394063	-0.05994061	
0.039	-0.05391245	-0.05994324	
0.0392	-0.05388424	-0.05994592	
0.0394	-0.05385601	-0.05994864	
0.0396	-0.05382776	-0.05995141	
0.0398	-0.05379947	-0.05995422	
0.04	-0.05377116	-0.05995708	
0.0402	-0.05374283	-0.05995999	
0.0404	-0.05371447	-0.05996294	
0.0406	-0.05368608	-0.05996594	
0.0408	-0.05365766	-0.05996899	
0.041	-0.05362922	-0.05997209	
0.0412	-0.05360074	-0.05997523	
0.0414	-0.05357224	-0.05997843	
0.0416	-0.0535437	-0.05998167	
0.0418	-0.05351513	-0.05998496	
0.042	-0.05348653	-0.0599883	
0.0422	-0.0534579	-0.0599917	
0.0424	-0.05342924	-0.05999515	
0.0426	-0.05340054	-0.05999865	
0.0428	-0.05337181	-0.0600022	
0.043	-0.05334313	-0.0600058	
0.0432	-0.05331454	-0.06000945	
0.0434	-0.05328606	-0.06001315	
0.0436	-0.05325767	-0.06001689	
0.0438	-0.05322937	-0.06002067	
0.044	-0.05320116	-0.06002449	
0.0442	-0.05317304	-0.06002834	
0.0444	-0.053145	-0.06003222	
0.0446	-0.05311704	-0.06003613	
0.0448	-0.05308916	-0.06004006	
0.045	-0.05306136	-0.06004402	
0.0452	-0.05303363	-0.06004799	
0.0454	-0.05300598	-0.06005199	
0.0456	-0.05297841	-0.060056	
0.0458	-0.0529509	-0.06006002	
0.046	-0.05292346	-0.06006406	
0.0462	-0.0528961	-0.06006811	
0.0464	-0.05286879	-0.06007217	
0.0466	-0.05284156	-0.06007624	
0.0468	-0.05281438	-0.06008032	
0.047	-0.05278727	-0.0600844	
0.0472	-0.05276022	-0.06008849	
0.0474	-0.05273323	-0.06009258	
0.0476	-0.0527063	-0.06009668	
0.0478	-0.05267942	-0.06010078	
0.048	-0.0526526	-0.06010488	
0.0482	-0.05262584	-0.06010898	
0.0484	-0.05259913	-0.06011308	
0.0486	-0.05257247	-0.06011718	
0.0488	-0.05254586	-0.06012128	
0.049	-0.05251931	-0.06012538	
0.0492	-0.0524928	-0.06012948	
0.0494	-0.05246635	-0.06013357	
0.0496	-0.05243994	-0.06013767	
0.0498	-0.05241358	-0.06014176	
